web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606354-4994","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/iqwxq2rmpnhbrtxvezzr/bright-blue-metallic-gold-university-red.png","2015","2015Bright Blue / Metallic Gold — University Red"
"1629606354-5008","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/c92465b1-6a27-44ca-8243-4e0478827f0b/university-red-black-court-purple.png","2020","2020University Red / Black — Court Purple"
"1629606354-4999","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/s3pqkb81khmu3sv3ywg3/white-varsity-red-black-low.png","2016","2016White / Varsity Red — Black"
"1629606354-4998","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/jviqndeojhapjhtoxa90/gym-red-university-red-hyper-turquoise-low.png","2016","2016Gym Red / University Red — Hyper Turquoise"
"1629606354-5002","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/zpl6n1bautj1xxveuxhc/light-bone-white-metallic-gold.png","2016","2016Light Bone / White — Metallic Gold"
"1629606354-4996","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/hyjbqr9ilutovycyzlnt/black-fire-pink-photo-blue-atomic-orange.png","2016","2016Black / Fire Pink — Photo Blue — Atomic Orange"
"1629606354-4993","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/kz7yaq7aotjhyj3odhw7/air-jordan-ii-1994-retro-white-red-black-.png","1994","1994White / Red — Black"
"1629606354-4997","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/qfybzssuy7qjgkll7sqb/white-black-dark-grey.png","2016","2016White / Black — Dark Grey"
"1629606354-4992","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/nbocprwmooxc0rh0csfx/air-jordan-ii-1994-retro-white-red-black-low.png","1994","1994White / Red — Black Low"
"1629606354-5007","https://www.jordan.com/collection/air-jordan-2","","","Have an Air Jordan II Retro?"
"1629606354-5000","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/dqszdrvfqew0ngzqdrwk/white-midnight-navy-infrared-23-university-blue-low.png","2016","2016White / Midnight Navy — Infrared 23 — University Blue"
"1629606354-4995","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/pbohk2n2qq2flxl7ozhd/beach-metallic-gold-university-red.png","2016","2016Beach / Metallic Gold — University Red"
"1629606354-5003","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/lw3xlinxcoixl9bldji1/white-university-blue-black.png","2017","2017White / University Blue — Black"
"1629606354-5006","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/fzwnvpqwnn9h4bxwy1gd/black-metallic-gold.png","2019","2019Black / Metallic Gold"
"1629606354-5001","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/ihgrvnn2l57bj8el9sux/black-gym-red-black.png","2016","2016Black — Gym Red — Black"
"1629606354-5004","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/wd1ccszo0npxpboeuagv/arctic-orange-arctic-orange.png","2017","2017Arctic Orange / Arctic Orange"
"1629606354-5005","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/bg5qt3totqojcdfqb8e7/white-sky-blue-yellow-.png","2018","2018White / Sky Blue — Yellow"
"1629606354-4991","https://www.jordan.com/collection/air-jordan-2","https://static.nike.com/a/images/vu8wpq3kepv8qujwqzmn/air-jordan-ii-white-red-prototype-.png","","White / Red Prototype"
