web-scraper-order,web-scraper-start-url,pic-src,name,price
"1629532505-2656","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/011575/1.jpg","Air Jordan 4 Retro 'Cavs'","$350+"
"1629532513-2766","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/166764/1.jpg","Air Jordan 4 Retro GS 'Black Cat' 2020","$371+"
"1629532487-2455","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/750/TEMPLATE/011478/1.jpg","Air Jordan Fusion 4 GS 'Laser'","Out of stock"
"1629532497-2560","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/137543/1.jpg","Air Jordan 4 Retro SE GS 'Monsoon Blue'","$125+"
"1629532499-2593","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/134818/1.jpg","Air Jordan 4 Retro GS 'For The Love Of The… Game'","$125+"
"1629532510-2721","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/012353/1.jpg","Air Jordan 4 Retro 'Alternate 89'","$200+"
"1629532508-2689","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro TD 'Lightning' 2021","$90+"
"1629532510-2712","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/156054/1.jpg","Air Jordan 4 Retro 'Red Metallic'","$350+"
"1629532492-2510","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/011045/1.jpg","Air Jordan Fusion 4 'Black Cement'","Out of stock"
"1629532492-2519","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/750/TEMPLATE/236984/1.jpg","Air Jordan 4 OG 'Military Blue' 1989","Out of stock"
"1629532505-2668","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/160500/1.jpg","Air Jordan 4 Retro SE PS 'What The 4'","$90+"
"1629532487-2457","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/750/TEMPLATE/140085/1.jpg","Air Jordan Fusion 4 TD 'Black Varsity Red'","Out of stock"
"1629532497-2578","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/012360/1.jpg","Air Jordan 4 Retro GG 'Denim'","$65+"
"1629532508-2682","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/135314/1.jpg","Air Jordan 4 Retro 'Pale Citron'","$180+"
"1629532503-2645","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/012391/1.jpg","Air Jordan 4 Retro PRM 'Pinnacle'","$331+"
"1629532497-2577","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/011379/1.jpg","Air Jordan Fusion 4 Premier 'Laser'","$310+"
"1629532510-2711","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/135864/1.jpg","Air Jordan 4 Retro PS 'Pale Citron'","$79+"
"1629532503-2648","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/012564/1.jpg","Air Jordan 4 Premium 'Wheat'","$430+"
"1629532513-2767","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/140040/1.jpg","Air Jordan 4 Retro OG GS 'Bred' 2019","$230+"
"1629532505-2654","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/011606/1.jpg","Air Jordan 4 Retro GS 'Fire Red' 2012","$184+"
"1629532505-2677","https://www.flightclub.com/air-jordans/air-jordan-4?page=4","https://cdn.flightclub.com/750/TEMPLATE/010408/1.jpg","Air Jordan 4 Retro LS 'Tour Yellow'","$495+"
"1629532490-2472","https://www.flightclub.com/air-jordans/air-jordan-4?page=10","https://cdn.flightclub.com/750/TEMPLATE/135747/1.jpg","Air Jordan 4 Retro 'White Black' 1999","Out of stock"
"1629532499-2596","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/804298/1.jpg","Levi's x Air Jordan 4 Retro GS 'White Deni…m'","$510+"
"1629532499-2600","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/138760/1.jpg","Air Jordan 4 Retro PS 'Alternate 89'","$49+"
"1629532510-2715","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/262072/1.jpg","Air Jordan 4 Retro PS 'University Blue'","$87+"
"1629532487-2456","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro PS 'Metallic Pack - Tot…al Orange'","Out of stock"
"1629532503-2622","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/803063/1.jpg","Levi's x Air Jordan 4 Retro 'Denim'","$575+"
"1629532492-2517","https://www.flightclub.com/air-jordans/air-jordan-4?page=9","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 4 Retro Gs","Out of stock"
"1629532513-2762","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/800830/1.jpg","Air Jordan 4 Retro 'Pure Money' 2017","$260+"
"1629532497-2568","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/143612/1.jpg","Air Jordan 4 'Florida Gators' PE","$5500+"
"1629532508-2708","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/010418/1.jpg","Air Jordan 4 Retro 'Mars' 2006","$130+"
"1629532499-2597","https://www.flightclub.com/air-jordans/air-jordan-4?page=6","https://cdn.flightclub.com/750/TEMPLATE/012109/1.jpg","Air Jordan 4 Retro 30th GG 'Fuchsia'","$124+"
"1629532497-2561","https://www.flightclub.com/air-jordans/air-jordan-4?page=7","https://cdn.flightclub.com/750/TEMPLATE/802041/1.jpg","Air Jordan 4 Retro GT 'Linen'","$179+"
"1629532495-2550","https://www.flightclub.com/air-jordans/air-jordan-4?page=8","https://cdn.flightclub.com/750/TEMPLATE/211485/1.jpg","Air Jordan 4 Retro TD 'Green Glow'","$179+"
"1629532487-2465","https://www.flightclub.com/air-jordans/air-jordan-4?page=11","https://cdn.flightclub.com/750/TEMPLATE/011091/1.jpg","Jordan 4 Retro Cb 'Mars Blackmon'","Out of stock"
"1629532513-2768","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/199270/1.jpg","Union LA x Air Jordan 4 Retro 'Guava Ice'","$770+"
"1629532513-2755","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/194200/1.jpg","Air Jordan 4 Retro SE 'Sashiko'","$226+"
"1629532513-2759","https://www.flightclub.com/air-jordans/air-jordan-4?page=1","https://cdn.flightclub.com/750/TEMPLATE/165633/1.jpg","Paris Saint-Germain x Air Jordan 4 Retro '…Bordeaux'","$280+"
"1629532508-2692","https://www.flightclub.com/air-jordans/air-jordan-4?page=3","https://cdn.flightclub.com/750/TEMPLATE/010448/1.jpg","Air Jordan 4 Retro LS 'Lightning'","$659+"
"1629532510-2717","https://www.flightclub.com/air-jordans/air-jordan-4?page=2","https://cdn.flightclub.com/750/TEMPLATE/247089/1.jpg","Air Jordan 4 Retro OG PS 'Fire Red' 2020","$82+"
"1629532503-2646","https://www.flightclub.com/air-jordans/air-jordan-4?page=5","https://cdn.flightclub.com/750/TEMPLATE/806804/1.jpg","Air Jordan 4 Retro GS 'Laser'","$129+"
