web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606687-5110","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/f5qdsxukbwno2qad5fu2/black-metallic-silver-white-low.png","2015","2015Black / Metallic Silver — White"
"1629606687-5103","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/xdxldy2c1xs782qxzehm/pink-white.png","","Pink / White"
"1629606687-5108","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/hu5hooxzmiyu9akttdhh/varsity-red-white-varsity-red.png","2014","2014Varsity Red / White — Varsity Red"
"1629606687-5117","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/tpsouiotztqytwrgzcar/black-university-blue.png","2017","2017Black / University Blue"
"1629606687-5119","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/w7oa1xgv1ev9uzjqyzjr/summit-white-team-orange-black.png","2017","2017Summit White / Team Orange — Black"
"1629606687-5109","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/npv21acedkfvzkwine8a/white-infrared-23-black-low.png","2015","2015White / Infrared 23 — Black"
"1629606687-5106","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/u1chp5dvpwlutytdadgv/black-metallic-gold.png","2006","2006Black / Metallic Gold"
"1629606687-5105","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/z9gk1petdn06arki7rpp/white-navy-blue-red.png","","White / Navy Blue — Red"
"1629606687-5104","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/po4rzacy5ktygqn93nna/white-black-gold.png","","White / Black — Gold"
"1629606687-5128","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/cf505fcc-d77d-4f51-a83f-b0a05f950c6d/med-olive-infrared-black.png","2019","2019Med Olive / Infrared — Black"
"1629606687-5115","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/noehgwnoha8dpbcj0t3k/white-pure-platinum-gym-red.png","2017","2017White / Pure Platinum / Gym Red"
"1629606687-5130","https://www.jordan.com/collection/air-jordan-6","","","Have an Air Jordan VI?"
"1629606687-5113","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/mlwyciy4scxvxvgkkppi/black-black-white.png","2016","2016Black / Black — White"
"1629606687-5126","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/ewnssyd3ssi8sfmhhe01/reflect-silver-infrared-black.png","2019","2019Reflect Silver / Infrared — Black"
"1629606687-5114","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/ragz1uskrvbgm7t10qed/black-metallic-silver-black.png","2017","2017Black / Metallic Silver — Black"
"1629606687-5125","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/xqazowbhson3ettm79wv/black-infrared.png","2019","2019Black / Infrared"
"1629606687-5123","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/uub5xa4ij7zfutrbu0zc/white-dark-concord-black-infrared.png","2019","2019White / Dark Concord — Black — Infrared"
"1629606687-5111","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/ad0f4c7a-d4fc-4eff-9b92-053967ed8453/white-ghost-green-insignia-blue.png","2015","2015White / Ghost Green — Insignia Blue"
"1629606687-5118","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/u80fclutxlke8ncmhtbs/pine-green-orange-blaze-pine-green.png","2017","2017Pine Green / Orange Blaze —  Pine Green"
"1629606687-5121","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/jutdek4xqzjsnnqyvx4l/white-infrared-neutral-grey.png","2018","2018White / Infrared — Neutral Grey"
"1629606687-5129","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/59b22144-9c3f-4144-ba14-fea9a7c5af26/neutral-grey-black-white-true-red.png","2020","2020Neutral Grey / Black — White — True Red"
"1629606687-5120","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/dqw3vtj0tcvnfrz1dn2d/black-metallic-gold-summit-white.png","2018","2018Black / Metallic Gold  — Summit White"
"1629606687-5107","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/xlemjgonfvzpkayrrxcq/white-sport-blue-black.png","2014","2014White / Sport Blue — Black"
"1629606687-5127","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/eyvhpchlslqlalzqm7zr/iron-grey-black-infrared-23.png","2019","2019Iron Grey / Black — Infrared 23"
"1629606687-5116","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/ri3gabaocfmeatsnf2cr/elemental-gold-baroque-brown-gum-yellow.png","2017","2017Elemental Gold / Baroque Brown — Gum Yellow"
"1629606687-5124","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/fw4l91s7e05vnl5fu6zq/black-dark-concord-.png","2019","2019Black / Dark Concord"
"1629606687-5112","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/j9ol4i06tvubrksqmwq8/metallic-gold-white.png","2016","2016Metallic Gold / White"
"1629606687-5122","https://www.jordan.com/collection/air-jordan-6","https://static.nike.com/a/images/soq9asgjfd0hywq6llxk/diffused-blue-court-blue-diffused-blue.png","2018","2018Diffused Blue / Court Blue — Diffused Blue"
