web-scraper-order,web-scraper-start-url,pic-src,name,price
"1629532705-3628","https://www.flightclub.com/air-jordans/air-jordan-7?page=4","https://cdn.flightclub.com/750/TEMPLATE/011731/1.jpg","Jordan 7 Retro PS 'Golden Moments'","$129+"
"1629532703-3570","https://www.flightclub.com/air-jordans/air-jordan-7?page=5","https://cdn.flightclub.com/750/TEMPLATE/010450/1.jpg","Air Jordan 7 Retro PS 'Flint'","$92+"
"1629532705-3608","https://www.flightclub.com/air-jordans/air-jordan-7?page=4","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 7 Retro 'Doernbecher' Samp…le","$768+"
"1629532701-3549","https://www.flightclub.com/air-jordans/air-jordan-7?page=6","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 7 Retro YOTR 'Year Of The Ra…bbit' Sample","Out of stock"
"1629532703-3581","https://www.flightclub.com/air-jordans/air-jordan-7?page=5","https://cdn.flightclub.com/750/TEMPLATE/010406/1.jpg","Air Jordan 7 Retro GS 'Cardinal' 2006","Out of stock"
"1629532713-3711","https://www.flightclub.com/air-jordans/air-jordan-7?page=1","https://cdn.flightclub.com/750/TEMPLATE/011369/1.jpg","Air Jordan 7 Retro 'Cardinal' 2011","$356+"
"1629532705-3605","https://www.flightclub.com/air-jordans/air-jordan-7?page=4","https://cdn.flightclub.com/750/TEMPLATE/012273/1.jpg","Air Jordan 7 GG 'Blue Dusk'","$160+"
"1629532701-3559","https://www.flightclub.com/air-jordans/air-jordan-7?page=6","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 7 Retro OC 'Miro Olympic' Sample","Out of stock"
"1629532701-3561","https://www.flightclub.com/air-jordans/air-jordan-7?page=6","https://cdn.flightclub.com/750/TEMPLATE/010805/1.jpg","Air Jordan 7 CB 'Raptor","Out of stock"
"1629532710-3676","https://www.flightclub.com/air-jordans/air-jordan-7?page=2","https://cdn.flightclub.com/750/TEMPLATE/804982/1.jpg","Air Jordan 7 Retro Low NRG 'Taxi'","$209+"
