web-scraper-order,web-scraper-start-url,pic-src,name,price
"1629532739-3756","https://www.flightclub.com/air-jordans/air-jordan-8?page=4","https://cdn.flightclub.com/750/TEMPLATE/010786/1.jpg","Air Jordan 8 Retro 'Ray Allen'","Out of stock"
"1629532744-3815","https://www.flightclub.com/air-jordans/air-jordan-8?page=2","https://cdn.flightclub.com/750/TEMPLATE/010048/1.jpg","Air Jordan 8 Retro 'Chrome' 2003","$102+"
"1629532742-3779","https://www.flightclub.com/air-jordans/air-jordan-8?page=3","https://cdn.flightclub.com/750/TEMPLATE/010664/1.jpg","Air Jordan 8 Retro GS 'Playoff' 2007","$90+"
"1629532739-3752","https://www.flightclub.com/air-jordans/air-jordan-8?page=4","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 8.0 'Varsity Royal'","Out of stock"
"1629532747-3849","https://www.flightclub.com/air-jordans/air-jordan-8?page=1","https://cdn.flightclub.com/750/TEMPLATE/012459/1.jpg","Air Jordan 8 Retro C&C 'Trophy'","$310+"
"1629532747-3832","https://www.flightclub.com/air-jordans/air-jordan-8?page=1","https://cdn.flightclub.com/750/TEMPLATE/244272/1.jpg","Wmns Air Jordan 8 Retro 'Burgundy'","$99+"
"1629532737-3726","https://www.flightclub.com/air-jordans/air-jordan-8?page=5","https://cdn.flightclub.com/750/TEMPLATE/011345/1.jpg","Air Jordan Fusion 8 GS 'Bright Concord'","Out of stock"
"1629532744-3825","https://www.flightclub.com/air-jordans/air-jordan-8?page=2","https://cdn.flightclub.com/placeholders/dash.png?w=360","Air Jordan 8.0 'White Red'","$100+"
"1629532742-3778","https://www.flightclub.com/air-jordans/air-jordan-8?page=3","https://cdn.flightclub.com/750/TEMPLATE/012223/1.jpg","Air Jordan 8 Retro PS 'Phoenix Suns'","$100+"
"1629532737-3725","https://www.flightclub.com/air-jordans/air-jordan-8?page=5","https://cdn.flightclub.com/750/TEMPLATE/011383/1.jpg","Air Jordan Fusion 8 'Varsity Maize'","Out of stock"
