web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607555-5327","https://www.jordan.com/collection/air-jordan-18","https://static.nike.com/a/images/kujad2cc8qugzrh1s1ns/white-metallic-silver-%E2%80%94-sport-royal.png","2018","2018White / Metallic Silver — Sport Royal"
"1629607555-5330","https://www.jordan.com/collection/air-jordan-18","https://static.nike.com/a/images/ycpbzprnnoitsydxpz0e/yellow-ochre-yellow-ochre-%E2%80%94-sail.png","2018","2018Yellow Ochre / Yellow Ochre — Sail"
"1629607555-5332","https://www.jordan.com/collection/air-jordan-18","https://static.nike.com/a/images/krw0lwostmfjd1lhpapu/black-metallic-silver-%E2%80%94-sport-royal.png","2018","2018Black / Metallic Silver — Sport Royal"
"1629607555-5331","https://www.jordan.com/collection/air-jordan-18","https://static.nike.com/a/images/hcb2x1gyr4bjbmyer5nu/racer-blue-racer-blue-%E2%80%94-sail.png","2018","2018Racer Blue / Racer Blue — Sail"
"1629607555-5328","https://www.jordan.com/collection/air-jordan-18","https://static.nike.com/a/images/xfoowhdgqeavvltupt96/gym-red-black.png","2018","2018Gym Red / Black"
"1629607555-5329","https://www.jordan.com/collection/air-jordan-18","https://static.nike.com/a/images/iiveaktq3m6zk0bvcm7g/campfire-orange-campfire-orange-%E2%80%94-sail.png","2018","2018Campfire Orange / Campfire Orange — Sail"
