web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606880-5132","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/hipbwabln5ja4arsang1/metallic-silver-red-black.png","","Metallic Silver / Red — Black"
"1629606880-5145","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/flnis2nc0jnblu8ftwm3/black-university-red-green-plasma-cool-grey.png","2015","2015Black / University Red — Green Plasma — Cool Grey"
"1629606880-5136","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/shavqbrvgkckpq3woctd/air-jordan-vii-2008-retro-white-metallic-gold-sport-red-black-miro.png","2008","2008White / Light Silver — True Red"
"1629606880-5150","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/olfdiaycqpmuwfrcixvp/reflect-silver-bronze-cardinal-red-black.png","2019","2019Reflect Silver / Bronze — Cardinal Red — Black"
"1629606880-5133","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/l7oqixpi5aqvw1cgruxa/black-chambray-light-graphite-low.png","2008","2008Black / Chambray — Light Graphite"
"1629606880-5141","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/u1s8btyntgrxbcgvtsj5/white-metallic-gold-black.png","2015","2015White / Metallic Gold — Black"
"1629606880-5135","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/pjiun8ibqkbh7ss76pia/air-jordan-vii-black-chambray-light-graphite-production-sample.png","2006","2006Black / Chambray — Light Graphite"
"1629606880-5146","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/gwrbwevtcjgudx6lnpwq/white-solar-blue-black-varsity-red-bright-concord.png","2015","2015White / Solar Blue — Black — Varsity Red — Bright Concord"
"1629606880-5138","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/xaqw2hxxknwmfyjfjumg/white-french-blue-university-blue-flint-grey.png","2015","2015White / French Blue — University Blue — Flint Grey"
"1629606880-5149","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/s2s6h0ga5zvmfpfwztdp/black-field-purple-dark-steel-grey.png","2019","2019Black / Field Purple — Dark Steel Grey"
"1629606880-5144","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/rxrps8mpu0jlecvvpf4d/black-university-red-green-plasma-cool-grey.png","2015","2015Black / University Red — Green Plasma — Cool Grey"
"1629606880-5142","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/lhiklr4fchjpapjcjoom/team-red-metallic-gold-sail-gum-light-brown.png","2015","2015Team Red / Metallic Gold — Sail — Gum Light Brown"
"1629606880-5143","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/ae6d65vckae7mbkzcmql/black-bordeaux-light-graphite-midnight-fog.png","2015","2015Black / Bordeaux — Light Graphite — Midnight Fog"
"1629606880-5134","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/g0t9kxoyliyriainlkec/air-jordan-vii-white-red-production-sample.png","","White / Red"
"1629606880-5152","https://www.jordan.com/collection/air-jordan-7","","","Have an Air Jordan VII?"
"1629606880-5151","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/da3a9376-9def-409f-8f93-e5a10f9e44e1/neutral-grey-summit-white-summit-white-.png","2020","2020Neutral Grey / Summit White — Summit White"
"1629606880-5140","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/kj4nqskfqnswxrwavjk8/white-true-red-light-silver-tourmaline.png","2015","2015White / True Red — Light Silver — Tourmaline"
"1629606880-5147","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/xrsyrv6jz41hcdxxgg84/white-metallic-gold-coin-deep-royal-blue-fire-red-lite-iron-ore.png","2016","2016White / Metallic Gold Coin — Deep Royal Blue — Fire Red — Lite Iron Ore"
"1629606880-5148","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/xwmdc6adw28oiflxhzcw/white-metallic-silver-pure-platinum.png","2017","2017White / Metallic Silver — Pure Platinum"
"1629606880-5139","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/eo8hinreqyoynulympyc/dark-grey-turquoise-blue-wolf-grey-total-orange.png","2015","2015Dark Grey / Turquoise Blue — Wolf Grey — Total Orange"
"1629606880-5131","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/gjo5wmoxdaln45bmzri2/metallic-gold-white-.png","","Metallic Gold / White"
"1629606880-5137","https://www.jordan.com/collection/air-jordan-7","https://static.nike.com/a/images/x4gjm7hg04jkulpo9l4z/black-dark-charcoal-true-red.png","2012","2012Black / Dark Charcoal — True Red"
