web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606507-5081","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/nd4mgqlqlkwrxhbvqq3d/black-bright-crimson-beta-blue-black-low.png","2016","2016Black / Bright Crimson — Beta Blue — Black"
"1629606507-5080","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/aoc5simwlxwmfgg3uekm/white-metallic-gold-star-midnight-navy-low.png","2016","2016White / Metallic Gold Star — Midnight Navy"
"1629606507-5071","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/lsuidrgas3zc2eat8r62/white-army-olive-solar-orange-bison.png","","White / Army Olive — Solar Orange — Bison"
"1629606507-5075","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/vaznnpfjgsiyh6fhqlqk/black-metallic-silver.png","2014","2014Black / Metallic Silver"
"1629606507-5101","https://www.jordan.com/collection/air-jordan-5","","","Have an Air Jordan V?"
"1629606507-5084","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/vihzpatuzbieo8yomxhn/obsidian-white-metallic-red-bronze-bright-grape.png","2016","2016Obsidian / White — Metallic Red Bronze — Bright Grape"
"1629606507-5092","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/dzjw6gugjlcu8javq3mu/bordeaux-bordeaux-sail-elemental-gold.png","2017","2017Bordeaux / Bordeaux — Sail — Elemental Gold"
"1629606507-5102","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/d4dc5628-37df-4980-9559-d67204ae6da5/oil-grey-black-white.png","2020","2020Oil Grey / Black — White"
"1629606507-5070","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/ktpvpoubtdtqgghdo52j/air-jordan-v-unreleased-black-fire-red-prototype.png","","Black / Fire Red Prototype"
"1629606507-5087","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/buqaifamxwayw1sbvqwy/university-red-black.png","2017","2017University Red / Black"
"1629606507-5098","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/082f1a30-7582-446f-b6da-28465e6fe36c/grape-ice-new-emerald-black-.png","2020","2020Grape Ice / New Emerald — Black"
"1629606507-5076","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/qgms31ovl3fc7l3nllib/white-metallic-silver-black.png","2015","2015White / Metallic Silver — Black"
"1629606507-5082","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/vlm1chln7zn0wcojymqb/black-fire-red-metallic-silver.png","2016","2016Black / Fire Red — Metallic Silver"
"1629606507-5069","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/a4kd288mtasifgreofci/air-jordan-v-og-white-black-fire-red.png","","White / Black — Fire Red"
"1629606507-5097","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/49367ece-6ba6-4011-ad95-13279593dcef/black-fire-red-grape-ice-new-emerald-.png","2020","2020Black / Fire Red — Grape Ice — New Emerald"
"1629606507-5100","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/45182af9-cc3f-4746-928e-331db45f7573/apple-green-black-yellow-strike.png","2020","2020Apple Green / Black — Yellow Strike"
"1629606507-5079","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/zebsjpt2uzl7ynozhqai/black-gym-red-metallic-hematitie-low.png","2016","2016Black / Gym Red — Metallic Hematite"
"1629606507-5086","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/iydnbc2vssnjk8odn3b6/stealth-stealth-wolf-grey.png","2017","2017Stealth / Stealth — Wolf Grey"
"1629606507-5090","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/y7xxldhwzejl07dytzq0/air-jordan-v-stuc-university-rouge.png","2017","2017Stuc / University Rouge"
"1629606507-5091","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/miikuhumticnrv3cslnz/game-royal-black.png","2017","2017Game Royal — Black"
"1629606507-5077","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/tjy3lykanermadp29lr5/midnight-navy-turquoise-blue-white.png","2015","2015Midnight Navy / Turquoise Blue — White"
"1629606507-5093","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/oocahvluldeiqgfzj5lc/sail-racer-blue-cone-black.png","2018","2018Sail / Racer Blue — Cone — Black"
"1629606507-5072","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/bnuovywuyhoiqjppciho/black-lucky-green-yellow-strike-.png","","Black / Lucky Green — Yellow Strike"
"1629606507-5073","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/wsvl9ld6pj0xxt2yg0er/black-black-metallic-silver.png","2000","2000Black / Black — Metallic Silver"
"1629606507-5078","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/r9mbneqm9dniuqctuy1a/desert-camo-fire-red-black.png","2015","2015Desert Camo / Fire Red — Black"
"1629606507-5095","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/jyhsyhzwq9cugkg3cezq/varsity-royal-varsity-maize-light-grey.png","2019","2019Varsity Royal / Varsity Maize — Light Grey"
"1629606507-5085","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/x5fgpi0ph6yw8zcvoyfr/sequoia-metallic-gold-vachetta-tan-sequoia.png","2017","2017Sequoia / Metallic Gold — Vachetta Tan — Sequoia"
"1629606507-5094","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/qxpmwflchhatobwm2osb/black-university-red.png","2018","2018Black / University Red"
"1629606507-5096","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/b6caba45-7637-49dc-be87-7da2f1335420/white-black-metallic-silver-fire-red-.png","2020","2020White / Black — Metallic Silver — Fire Red"
"1629606507-5088","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/en41qkzxyyqka7hfvfgi/black-black.png","2017","2017Black / Black"
"1629606507-5083","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/x5mz5whr543nplhgyviy/white-black-metallic-gold-coin.png","2016","2016White / Black — Metallic Gold Coin"
"1629606507-5074","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/cxlh84btssk4fqx6k3po/air-jordan-v-2000-retro-white-varsity-royal-varsity-maize-laney.png","2000","2000White / Varsity Royal — Varsity Maize"
"1629606507-5089","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/fsg30jiohttp5qz5kgke/white-fire-red-tech-grey-black.png","2017","2017White / Fire Red — Tech Grey — Black"
"1629606507-5099","https://www.jordan.com/collection/air-jordan-5","https://static.nike.com/a/images/817d15c4-f491-4506-8af9-11bf01c04ef3/white-court-purple-racer-pink.png","2020","2020White / Court Purple — Racer Pink"
