web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607022-5168","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/hkpstobtcfdjkxsmalto/air-jordan-ix-black-white-baseball-cleats-pe.png","","Black / White Baseball Cleats PE"
"1629607022-5181","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/zankp2qbcvlvshwnnmxz/black-university-red-anthracite.png","2018","2018Black / University Red — Anthracite"
"1629607022-5179","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/xzpagk9eyd8y7vpkpjkz/hazelnut-sail.png","2017","2017Hazelnut / Sail"
"1629607022-5184","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/dbzvg4ewcv6zsdhgycwj/black-university-red-dark-concord.png","2019","2019Black / University Red — Dark Concord"
"1629607022-5173","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/hclmhxydmqylbvkivjs6/black-university-red-white-low.png","2016","2016Black / University Red — White"
"1629607022-5186","https://www.jordan.com/collection/air-jordan-9","","","Have an Air Jordan IX retro?"
"1629607022-5178","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/iqwcrxucdvqn9wbzys8v/black-metallic-gold-white.png","2017","2017Black / Metallic Gold — White"
"1629607022-5176","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/eab15b3c-0242-4fc1-9ea0-0b76428fff56/white-concord-tour-yellow-.png","2016","2016White / Concord — Tour Yellow"
"1629607022-5170","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/yc7cmd2eqiiosyah2b5h/white-metallic-gold-black.png","2012","2012White / Metallic Gold — Black"
"1629607022-5171","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/ad4241c8-920a-4110-98ec-da7e9e4116f5/white-black-militia-green.png","2015","2015White / Black — Militia Green"
"1629607022-5175","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/shmy0l2g7wpudvyjinvo/university-blue-black-white-low.png","2016","2016University Blue / Black — White"
"1629607022-5172","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/yqjr2zyhaesrtnblcipy/anthracite-white-black.png","2015","2015Anthracite / White — Black"
"1629607022-5174","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/jkhf4xyw20t3nrpnni7v/bright-mang-hasta-ghost-green-low.png","2016","2016Bright Mango / Hasta — Ghost Green"
"1629607022-5183","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/qymqlli9gmw4pxrzxvrs/white-university-blue-midnight-navy.png","2019","2019White / University Blue — Midnight Navy"
"1629607022-5177","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/mfyodnijgz95ycbj8tew/white-black-true-red.png","2016","2016White / Black — True Red"
"1629607022-5182","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/guvtwttffzgdvjklbffb/white-baroque-brown-metallic-gold.png","2018","2018White / Baroque Brown — Metallic Gold"
"1629607022-5185","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/ce0a80d8-8459-4bb8-9425-dc2a173471da/black-white-racer-blue.png","2020","2020Black / White — Racer Blue"
"1629607022-5180","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/liwsomyqtmijgdiqjmoq/black-summit-white-metallic-gold.png","2018","2018Black / Summit White — Metallic Gold"
"1629607022-5169","https://www.jordan.com/collection/air-jordan-9","https://static.nike.com/a/images/pf3x1u6pyos8aqn48nyj/air-jordan-ix-white-black-nick-anderson-pe.png","","White / Black Anfernee ""Penny"" Hardaway PE"
