web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607254-5310","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/txzluaj7xrtyhggni4pn/phantom-moon-particle.png","2018","2018Phantom / Moon Particle"
"1629607254-5290","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/qwms3ryurdkmgt9oepp9/black-anthracite-%E2%80%94-black.png","2017","2017Black / Anthracite — Black"
"1629607254-5284","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/nmoxrijojryin4rgusyw/reflect-silver-infrared-23-%E2%80%94-black.png","2014","2014Reflect Silver / Infrared 23 — Black"
"1629607254-5309","https://www.jordan.com/collection/air-jordan-13","","","Have an Air Jordan XIII Retro?"
"1629607254-5280","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/y4vobrn0hzys0ovggosy/tidal-blue-med-silver-white.png","","Tidal Blue / Med Silver — White"
"1629607254-5295","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/ru2kh1lqlqmdksaxvz9i/white-metallic-gold.png","2017","2017White / Metallic Gold"
"1629607254-5304","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/tiakt1ea8yntdpxng3np/black-black.png","2019","2019Black / Black"
"1629607254-5305","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/cc644fa7-eb6e-4657-9a31-5ccb38d6e973/white-black-%E2%80%94-court-purple.png","2019","2019White / Black — Court Purple"
"1629607254-5282","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/mk1khdfxamqiqcelolar/white-tropical-teal-%E2%80%94-black-%E2%80%94-wolf-grey.png","2014","2014White / Tropical Teal — Black — Wolf Grey"
"1629607254-5294","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/7133cb0a-e22a-4714-9e4d-270dd03dff43/black-chutney.png","2017","2017Black / Chutney"
"1629607254-5287","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/g9pkry7tq0hapr0b8wlu/black-metallic-gold-%E2%80%94-university-red-%E2%80%94-white.png","2015","2015Black / Metallic Gold — University Red — White"
"1629607254-5292","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/guzb6stigx3o6zz3cafj/brave-blue-metallic-silver-%E2%80%94-black.png","2017","2017Brave Blue / Metallic Silver — Black"
"1629607254-5296","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/qneprnmexqyvwbdw2sl2/air-jordan-xiii-retro-black-true-red-%E2%80%94-white.png","2017","2017Black / True Red — White"
"1629607254-5278","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/jtixz3iypazxxhqbawwi/college-navy-action-green-.png","","College Navy / Action Green"
"1629607254-5286","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/61cb1411-b866-4ddb-89c4-98f689ac08ab/white-metallic-silver-%E2%80%94-midnight-navy-%E2%80%94-turquoise-%E2%80%94-blue.png","2015","2015White / Metallic Silver — Midnight Navy — Turquoise — Blue"
"1629607254-5289","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/xwip84nuecaum6m9kpxi/gym-red-black.png","2016","2016Gym Red / Black"
"1629607254-5285","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/p5ssuxryphtyaah3c6dk/black-gym-red-%E2%80%94-black.png","2014","2014Black / Gym Red — Black"
"1629607254-5302","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/cc8lxxevc5odfzwfqxpx/white-true-red-%E2%80%94-black.png","2018","2018White / True Red — Black"
"1629607254-5301","https://www.jordan.com/collection/air-jordan-13","https://static.nike.com/a/images/iwev6scvmczcenaetrkb/white-hyper-royal-%E2%80%94-black.png","2018","2018White / Hyper Royal  — Black"
