web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607062-5193","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/pqlhbhumgobdxgdwgjsk/ocean-fog-blue-lagoon-midnight-navy.png","2016","2016Ocean Fog / Blue Lagoon — Midnight Navy"
"1629607062-5188","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/psshjzo7iqcihlq9gghk/cement-grey-black-tropical-teal.png","2015","2015Cement Grey / Black — Tropical Teal"
"1629607062-5201","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/mkklqxn0lvvs3z9itfhp/black-grey.png","2018","2018Black / Grey"
"1629607062-5207","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/16ea83c6-80c7-4b9e-92bb-4687cfa31af2/dark-mocha-infrared-23-black.png","2020","2020Dark Mocha / Infrared 23 — Black"
"1629607062-5191","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/dysoo1ufsngvospvrvmz/black-black-metallic-gold.png","2016","2016Black / Black — Metallic Gold"
"1629607062-5199","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/ehdzwvgsnyxtpoqena67/cool-grey-cool-grey-white.png","2018","2018Cool Grey / Cool Grey — White"
"1629607062-5187","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/ftpgbai8vedwjhwh5vwq/black-dark-shadow-true-red.png","","Black / Dark Shadow — True Red"
"1629607062-5200","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/hwkt4wilqyzu4wcj8kw6/summit-white-black-university-red.png","2018","2018Summit White / Black — University Red"
"1629607062-5209","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/kchxjoiie38jzup5wgca/concord-black-rush-red-bordeaux-armory-blue.png","2018","2018Concord / Black — Rush Red — Bordeaux — Armory Blue"
"1629607062-5206","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/df1d9314-ed73-48e6-993f-d38085b23378/multi-color-multi-color.png","2020","2020Multi-Color / Multi-Color"
"1629607062-5204","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/stovsvo8znwoy1gevwnk/racer-blue-team-orange-black.png","2018","2018Racer Blue / Team Orange — Black"
"1629607062-5196","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/hsbcxbozhq510rrnqufv/black-fierce-purple-gamma-blue.png","2016","2016Black / Fierce Purple — Gamma Blue"
"1629607062-5202","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/akjbgyhqxxeq560i9v6n/white-university-red-hyper-royal.png","2018","2018White / University Red — Hyper Royal"
"1629607062-5195","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/rczg1gjzc4tkichnbe1q/wolf-grey-photo-blue-obsidian-green-glow.png","2016","2016Wolf Grey / Photo Blue — Obsidian — Green Glow"
"1629607062-5208","https://www.jordan.com/collection/air-jordan-10","","","Have an Air Jordan X Retro?"
"1629607062-5192","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/qcmjeqjw0qjypawqrzxd/black-fierce-purple-black.png","2016","2016Black / Fierce Purple — Black"
"1629607062-5194","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/jprmnkqzqgk648bynu8b/white-light-crimson-university-blue-black.png","2016","2016White / Light Crimson — University Blue — Black"
"1629607062-5205","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/qpdd814896jkj1ygxopy/white-black-royal-metallic-silver.png","2018","2018White / Black —  Royal — Metallic Silver"
"1629607062-5198","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/khba6fh6ulspteldcfme/white-concord-blue-lagoon-black.png","2016","2016White / Concord — Blue Lagoon — Black"
"1629607062-5190","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/snk8cawe0joaz6n5qqqa/white-varsity-red-black.png","2015","2015White / Varsity Red — Black"
"1629607062-5189","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/uurisilzwpzzhruxsq7y/gym-red-black-wolf-grey.png","2015","2015Gym Red / Black — Wolf Grey"
"1629607062-5203","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/zy2wb5bgl4xf1kvkmb1p/light-smoke-grey-black-university-red.png","2018","2018Light Smoke Grey / Black — University Red"
"1629607062-5197","https://www.jordan.com/collection/air-jordan-10","https://static.nike.com/a/images/tj2ncginkntlgrmiazyg/pure-platinum-metallic-gold-dark-grey.png","2016","2016Pure Platinum / Metallic Gold — Dark Grey"
