web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606256-4977","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/3f184ab6-560e-454b-a503-00747c7b91e0/barely-grape-white-metallic-gold.png","2018","2018Barely Grape / White — Metallic Gold"
"1629606256-4950","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/572c2769-96eb-43d7-a43e-d6d3d24aad50/sail-obsidian-university-blue.png","2019","2019Sail / Obsidian — University Blue"
"1629606256-4880","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/ve4od3wb4weozjw2sxuf/black-metallic-silver-high.png","2015","2015Black / Metallic Silver"
"1629606256-4868","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/yihw0y5kfnmmvo7gnzcp/air-jordan-i-og-ko-black-red-.png","1986","1986KO Black / Red"
"1629606256-4901","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/wdwdlw26bzkk1v1olvg6/black-italy-blue-university-red.png","2017","2017Black / Italy Blue — University Red"
"1629606256-4936","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/htizxesz70ymtbcjarl8/white-storm-blue-varsity-red-black.png","2018","2018White / Storm Blue — Varsity Red —  Black"
"1629606256-4940","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/kwcpl2diznsggrq1bpjx/black-black-sail-wolf-grey.png","2019","2019Black / Black — Sail — Wolf Grey"
"1629606256-4866","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/40ef3940-88e6-4b8d-be9c-605c6ae86864/white-natural-grey.png","1985","1985White / Natural Grey"
"1629606256-4953","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/962b1cf9-26ea-483d-99d1-9f62698e2c92/black-gym-red-white.png","2019","2019Black / Gym Red — White"
"1629606256-4892","https://www.jordan.com/collection/air-jordan-1","https://static.nike.com/a/images/rlnwypohiqciz1iue85q/ko-pure-platinum-white-metallic-silver.png","2016","2016Pure Platinum / White — Metallic Silver"
