web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629607116-5217","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/jehgys1xd5g5cvypts8f/black-true-red-low.png","2015","2015Black / True Red"
"1629607116-5214","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/u1nhhur6uqtvoiivtht3/black-true-red-white-low.png","2015","2015Black / True Red White"
"1629607116-5219","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/ytevhmmy7ufzlu6y22zz/white-varsity-red.png","2016","2016White / Varsity Red"
"1629607116-5240","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/wci8hvrcrgqmrsuy6bzp/black-metallic-gold-white.png","2017","2017Black / Metallic Gold — White"
"1629607116-5235","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/a546ccdd-78fe-4379-bad1-1dd115b5d3c6/white-university-red-black-true-red-.png","2020","2020White / University Red — Black — True Red"
"1629607116-5220","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/seljwuzx1zqfrkhxtb04/white-metallic-gold-coin-black.png","2016","2016White / Metallic Gold Coin — Black"
"1629607116-5218","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/uhqvyla2jxobbz9sxnhe/midnight-navy-white-gum-light-brown.png","2016","2016Midnight Navy / White — Gum Light Brown"
"1629607116-5212","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/wrjsgi5ucb3kycygpuaa/white-black-dark-concord.png","","White / Black / Dark Concord"
"1629607116-5234","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/4ccc6b99-2867-463b-84ed-c564f91e5939/black-true-red-white.png","2019","2019Black / True Red — White"
"1629607116-5237","https://www.jordan.com/collection/air-jordan-11","","","Have an Air Jordan XI Retro?"
"1629607116-5210","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/x1dabiie4fdmcsmgtjfn/white-black-dark-concord-cleat-.png","","White / Black / Dark Concord"
"1629607116-5230","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/c0ivjx29qfp62xisjczf/platinum-tint-university-red-sail.png","2018","2018Platinum Tint / University Red — Sail"
"1629607116-5225","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/okznxacny4lwaakjmnz4/white-gym-red-black.png","2017","2017White / Gym Red — Black"
"1629607116-5216","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/bmcfir7cfkxfguobtwlc/black-militia-green-gym-yellow-infrared-23-low.png","2015","2015Black / Militia Green — Gym Yellow — Infrared 23"
"1629607116-5213","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/zyumbdakzy8irn4chfwo/white-black-legend-blue.png","2014","2014White / Black — Legend Blue"
"1629607116-5211","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/df5lfkhndvxlmv1efi2k/air-jordan-xi-white-red-deion-sanders-pe-prime-time.png","","White / Red Deion Sanders PE"
"1629607116-5229","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/mlfsvwtq7cfnqqbshat7/black-black-black.png","2018","2018Black / Black — Black"
"1629607116-5221","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/n0qnnqhrknfejjka03fh/black-dark-concord-white-.png","2016","2016Black / Dark Concord — White"
"1629607116-5224","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/ke1unad9yghshlivzvog/obsidian-obsidian-white.png","2017","2017Obsidian / Obsidian — White"
"1629607116-5242","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/z2rvfyuttnatmlpxnvyh/sail-metallic-red-bronze-gum-med-brown.png","2018","2018Sail / Metallic Red Bronze — Gum Med Brown"
"1629607116-5238","https://www.jordan.com/collection/air-jordan-11","https://static.nike.com/a/images/b94086fe-12f7-43a7-b7fd-30f9077e5e66/white-metallic-silver-vast-grey.png","2019","2019White / Metallic Silver — Vast Grey"
