web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606470-5057","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/cezyknhlaclcjezsdlqa/white-metallic-silver-pure-platinum.png","","White / Metallic Silver — Pure Platinum"
"1629606470-5051","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/sl1xf8fqq5pelxdsr6zv/white-white.png","2018","2018White / White"
"1629606470-5054","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/364d06f0-f2a7-4f7a-80d4-c56fb27ef497/cool-grey-chrome-dark-charcoal.png","2019","2019Cool Grey / Chrome — Dark Charcoal"
"1629606470-5059","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/fa288eba-6e61-45a4-a4fc-dd7f335a0f00/white-metallic-silver-team-orange.png","2020","2020White / Metallic Silver — Team Orange"
"1629606470-5050","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/nettebw3lif9gs0t7zxs/black-black-black.png","2018","2018Black / Black — Black"
"1629606470-5046","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/drl5r9nnw7kwndjrzlfz/ginger-gum-yellow.png","2016","2016Ginger / Gum Yellow"
"1629606470-5056","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/d51c921d-a390-4bd7-94ad-c0474f530c6b/black-black-light-graphite.png","2020","2020Black / Black — Light Graphite"
"1629606470-5068","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/8cf43a1e-91df-4ba3-8c83-6960aa566a89/sail-muslin-white-black.png","2020","2020Sail / Muslin — White — Black"
"1629606470-5053","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/au40dtxzfwuaux74k3vh/black-fire-red-cement-grey-summit-white.png","2019","2019Black / Fire Red — Cement Grey — Summit White"
"1629606470-5067","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/acf3bbed-7539-41e2-92eb-35998c91b08f/white-university-red-lucid-green-black-.png","2020","2020White / University Red — Lucid Green — Black"
"1629606470-5063","https://www.jordan.com/collection/air-jordan-4","","","Have an Air Jordan IV?"
"1629606470-5048","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/zzzp38aflge4jnqcnw4m/denim-denim-sail-game-red-.png","2018","2018Denim / Denim Sail — Game Red"
"1629606470-5038","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/wkt5gdnpuckp9pisr1je/white-legend-blue-midnight-navy.png","2015","2015White / Legend Blue — Midnight Navy"
"1629606470-5036","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/lr3w5i2ibmut0migec4k/air-jordan-iv-1999-retro-white-black-.png","1999","1999White / Cement"
"1629606470-5040","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/hswzvhr9g8ozh8id0qte/black-white.png","2015","2015Black / White"
"1629606470-5064","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/vuioxlzanmjag5w53joe/fire-red-summit-white-black.png","2018","2018Fire Red / Summit White — Black"
"1629606470-5044","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/zh0tnboxl13ejualgorp/light-bone-white-pure-platinum-wolf-grey.png","2016","2016Light Bone / White — Pure Platinum — Wolf Grey"
"1629606470-5058","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/z1ppbr3fw2ira1bzobth/black-game-royal-matte-silver-white.png","","Black / Game Royal — Matte Silver — White"
"1629606470-5035","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/jyyvnijvphytwi5qhojj/black-red.png","","Black / Red"
"1629606470-5062","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/41def845-d987-4fcb-8633-7ec4ceb55fd0/white-metallic-silver-university-red.png","2020","2020White / Metallic Silver — University Red"
"1629606470-5061","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/9c747321-e2b4-47b9-989e-8d99f45f1735/white-metallic-silver-court-purple-.png","2020","2020White / Metallic Silver — Court Purple"
"1629606470-5045","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/ogjocwndzywsqxtfaiws/obsidian-obsidian-white.png","2016","2016Obsidian / Obsidian — White"
"1629606470-5049","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/jqvsoigajulqxdkc1kbx/university-blue-black-varsity-red.png","2018","2018University Blue / Black — Varsity Red"
"1629606470-5037","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/gual8eopnvugf2kntnnl/air-jordan-iv-1999-retro-black-black-cool-grey-oreo.png","1999","1999Black / Black — Cool Grey"
"1629606470-5043","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/dkgzenl52fjtqdi9bp1b/midnight-navy-varsity-maize-white-metallic-gold-star-.png","2016","2016Midnight Navy / Varsity Maize — White — Metallic Gold Star"
"1629606470-5041","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/zknhavmoosr7oywvqseh/university-red-university-red.png","2015","2015University Red / University Red"
"1629606470-5065","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/k3gkujbe8zekpicsvhro/hot-punch-black-volt.png","2019","2019Hot Punch / Black — Volt"
"1629606470-5042","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/dymg0hxdiddxjkyz2kyo/white-fire-red-black-tech-grey.png","2016","2016White / Fire Red — Black — Tech Grey"
"1629606470-5060","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/0d43c8ef-c569-453e-91e3-ecb5382b902c/white-metallic-silver-pine-green.png","2020","2020White / Metallic Silver — Pine Green"
"1629606470-5034","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/fe17d0f4-b724-4da2-b7b6-d19fc42f2671/olive-oiled-suede-flight-satin.png","1989","1989Olive / Oiled Suede — Flight Satin"
"1629606470-5052","https://www.jordan.com/collection/air-jordan-4","https://static.nike.com/a/images/wsfc1smvbk4vpks8hkkb/white-black-bright-crimson.png","2019","2019White / Black — Bright Crimson"
