web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606987-5165","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/pxuu9a5xzr6zp4fkkxeh/black-light-concord-aloe-verde.png","2018","2018Black / Light Concord — Aloe Verde"
"1629606987-5166","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/fdowaqffz3ckxlllcamz/reflect-silver-hyper-blue-true-red.png","2019","2019Reflect Silver / Hyper Blue — True Red"
"1629606987-5158","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/eyeb0eer6vuevirggwv6/sequoia-black-wolf-grey-max-orange.png","2017","2017Sequoia / Black — Wolf Grey — Max Orange"
"1629606987-5160","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/vyuwhjavlkuq5vbndk6l/cool-grey-wolf-grey-cool-grey.png","2017","2017Cool Grey / Wolf Grey — Cool Grey"
"1629606987-5163","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/htoeisjt0ekzfijzgrff/white-metallic-gold-varsity-red.png","2018","2018White / Metallic Gold — Varsity Red"
"1629606987-5156","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/coebfsh634hlghds2cb1/light-bone-metallic-gold-white.png","2016","2016Light Bone / Metallic Gold — White"
"1629606987-5164","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/prj47z9enr3p2s5expe1/white-turbo-green-hyper-pink.png","2018","2018White / Turbo Green — Hyper Pink"
"1629606987-5159","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/rdcmrytmqwhklxfrqxtk/white-gym-red-black-wolf-grey.png","2017","2017White / Gym Red — Black — Wolf Grey"
"1629606987-5153","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/jtxhw22tklbrmcb7hpnp/white-infrared-23-black-bright-concord.png","2015","2015White / Infrared 23 — Black — Bright Concord"
"1629606987-5167","https://www.jordan.com/collection/air-jordan-8","","","Have an Air Jordan VIII?"
"1629606987-5161","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/o2srbafcxpljcadimlf2/black-gym-red-black-wolf-grey.png","2017","2017Black / Gym Red — Black — Wolf Grey"
"1629606987-5162","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/c9nalyzres4ueyuyvxwx/black-metallic-gold-varsity-red.png","2018","2018Black / Metallic Gold — Varsity Red"
"1629606987-5155","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/y50qi5nk3qaylns0dmcf/black-white-light-graphite.png","2015","2015Black / White — Light Graphite"
"1629606987-5157","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/o6eap7gg5rpz8eczaj6p/black-metallic-gold-anthracite.png","2016","2016Black / Metallic Gold — Anthracite"
"1629606987-5154","https://www.jordan.com/collection/air-jordan-8","https://static.nike.com/a/images/qvlkdw5pbrtwqcfwbqx6/black-true-red-fling-grey-bright-concord.png","2015","2015Black / True Red — Fling Grey — Bright Concord"
