web-scraper-order,web-scraper-start-url,image-src,year,colorway
"1629606423-5023","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/udbaiphtmarugtehnax0/white-dark-mocha-chrome.png","2018","2018White / Dark Mocha — Chrome"
"1629606423-5031","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/or2gafbzptiagwm3vmnw/university-black-sail.png","2018","2018University Black / Sail"
"1629606423-5009","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/pey5eppi5ohehmeus7sy/air-jordan-iii-1994-retro-og-black-cement-grey.png","1994","1994Black / Cement Grey"
"1629606423-5028","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/b25434d9-8cd8-4058-ae7c-8c15a93b6f91/white-valor-blue-tech-grey.png","2020","2020White / Valor Blue — Tech Grey"
"1629606423-5012","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/17f8719a-d6e6-453c-a4a4-72484fc479c6/black-sport-blue-wolf-grey.png","2016","2016Black / Sport Blue — Wolf Grey"
"1629606423-5029","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/f92030b0-aa23-439f-b326-0978ee12f768/air-jordan-iii-denim-white-blackfire-red.png","2020","2020White / Black—Fire Red"
"1629606423-5019","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/zyonrytglyr2uwuwos1f/white-fire-red.png","2018","2018White / Fire Red"
"1629606423-5018","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/u8dy5po7kycaup38drvu/white-white-fire-red.png","2018","2018White / White — Fire Red"
"1629606423-5032","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/yptqlwjeuimx9ima8qhf/bordeaux-bordeaux-phantom.png","2018","2018Bordeaux / Bordeaux — Phantom"
"1629606423-5016","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/kh3e2ianmoketaxhga9x/white-fire-red-cement-grey.png","2018","2018White / Fire Red — Cement Grey"
"1629606423-5010","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/tss4gsfjqsobjqf6tmea/air-jordan-iii-1994-retro-og-white-cement-grey-.png","1994","1994White / Cement Grey"
"1629606423-5022","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/i5yhul5atl4tvm9dfaqw/light-smoke-grey-chlorophyll-black-white.png","2018","2018Light Smoke Grey / Chlorophyll — Black — White"
"1629606423-5025","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/1e02c1ca-73f4-44e0-b1a5-8e1b7f630041/fire-red-fire-red-cement-grey.png","2020","2020Fire Red / Fire Red — Cement Grey"
"1629606423-5024","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/jbpsszltrfmqpwzmwu7c/white-university-red-neutral-grey.png","2019","2019White / University Red — Neutral Grey"
"1629606423-5017","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/ozknvhyhuucvqqdnwntd/black-fire-red-cement-grey.png","2018","2018Black / Fire Red — Cement Grey"
"1629606423-5020","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/mpmdzlko1iqttlkoofrr/sail-sport-royal-fire-red.png","2018","2018Sail / Sport Royal — Fire Red"
"1629606423-5013","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/uj7wsd4zh7uhyrwbp7qq/black-black-white.png","2016","2016Black / Black — White"
"1629606423-5015","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/vjx3zw75feiz5ymvbu0i/dark-grey-dark-grey-sail.png","2016","2016Dark Grey / Dark Grey — Sail"
"1629606423-5011","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/y9twruo1utdvjaff4yln/wolf-grey-metallic-silver-black.png","2014","2014Wolf Grey / Metallic Silver — Black"
"1629606423-5014","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/n6sm927ui20srtmihfft/white-true-blue-varsity-red.png","2016","2016White / True Blue — Varsity Red"
"1629606423-5033","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/e7bd7e36-2ad2-48ab-bf67-c13c407d5b72/white-laser-orange-cement-grey.png","2020","2020White / Laser Orange — Cement Grey"
"1629606423-5027","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/8696ae2f-e6fd-4db2-8fab-48d98135cc02/black-black-white-gorge-green-.png","2020","2020Black / Black — White — Gorge Green"
"1629606423-5021","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/whrkxbciwjnhsjdthvtc/white-white-white.png","2018","2018White / White — White"
"1629606423-5030","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/p9o1fisoquq9r2ppwhor/university-red-sail-black.png","2018","2018University Red / Sail — Black"
"1629606423-5026","https://www.jordan.com/collection/air-jordan-3","https://static.nike.com/a/images/2e6cdf01-6122-4027-a4cb-931778d2f0b7/white-valor-blue-tech-grey.png","2020","2020White / Valor Blue — Tech Grey"
